epoch,step,val_loss
0,0,57.628108978271484
1,1,49.32839584350586
2,2,32.824947357177734
3,3,18.45121955871582
4,4,14.423466682434082
5,5,16.39199447631836
6,6,13.468953132629395
7,7,12.855578422546387
8,8,12.179486274719238
9,9,14.33971118927002
10,10,16.114730834960938
11,11,13.92090129852295
12,12,10.637797355651855
13,13,12.600972175598145
14,14,8.196833610534668
15,15,6.508709907531738
16,16,5.017032146453857
17,17,1.7374088764190674
18,18,2.3873040676116943
19,19,1.3663681745529175
20,20,12.462859153747559
21,21,5.712188720703125
22,22,6.82138204574585
23,23,1.7900274991989136
24,24,1.785365343093872
25,25,1.8115568161010742
